operator,kwargs,input_shape,cpu_time,gpu_time
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=2","(8, 1, 256, 256)",0.562ms,0.203ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=32,stride=2","(8, 1, 640, 640)",1.570ms,1.233ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=1","(1, 1, 96, 96)",0.465ms,0.024ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=1","(1, 1, 256, 256)",0.524ms,0.143ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=1","(1, 1, 640, 640)",1.234ms,0.843ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=1","(8, 1, 96, 96)",0.535ms,0.153ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=1","(8, 1, 256, 256)",1.463ms,1.057ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=1","(8, 1, 640, 640)",7.031ms,6.622ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=2","(1, 1, 96, 96)",0.438ms,0.015ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=2","(1, 1, 256, 256)",0.419ms,0.039ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=2","(1, 1, 640, 640)",0.645ms,0.267ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=2","(8, 1, 96, 96)",0.437ms,0.04ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=2","(8, 1, 256, 256)",0.688ms,0.3ms
Conv2d,"in_channels=1,kernel_size=5,out_channels=64,stride=2","(8, 1, 640, 640)",2.342ms,1.952ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=1","(1, 4, 96, 96)",0.492ms,0.015ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=1","(1, 4, 256, 256)",0.478ms,0.046ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=1","(1, 4, 640, 640)",0.703ms,0.253ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=1","(8, 4, 96, 96)",0.48ms,0.049ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=1","(8, 4, 256, 256)",0.77ms,0.312ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=1","(8, 4, 640, 640)",2.356ms,1.884ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=2","(1, 4, 96, 96)",0.401ms,0.01ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=2","(1, 4, 256, 256)",0.455ms,0.018ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=2","(1, 4, 640, 640)",0.494ms,0.072ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=2","(8, 4, 96, 96)",0.439ms,0.021ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=2","(8, 4, 256, 256)",0.516ms,0.093ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=8,stride=2","(8, 4, 640, 640)",0.953ms,0.511ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=1","(1, 4, 96, 96)",0.463ms,0.022ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=1","(1, 4, 256, 256)",0.513ms,0.084ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=1","(1, 4, 640, 640)",0.927ms,0.478ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=1","(8, 4, 96, 96)",0.493ms,0.092ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=1","(8, 4, 256, 256)",1.043ms,0.583ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=1","(8, 4, 640, 640)",4.071ms,3.592ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=2","(1, 4, 96, 96)",0.394ms,0.012ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=2","(1, 4, 256, 256)",0.462ms,0.023ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=2","(1, 4, 640, 640)",0.566ms,0.141ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=2","(8, 4, 96, 96)",0.434ms,0.026ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=2","(8, 4, 256, 256)",0.656ms,0.176ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=32,stride=2","(8, 4, 640, 640)",1.560ms,1.091ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=1","(1, 4, 96, 96)",0.543ms,0.026ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=1","(1, 4, 256, 256)",0.598ms,0.156ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=1","(1, 4, 640, 640)",1.381ms,0.895ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=1","(8, 4, 96, 96)",0.604ms,0.169ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=1","(8, 4, 256, 256)",1.624ms,1.130ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=1","(8, 4, 640, 640)",7.550ms,7.014ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=2","(1, 4, 96, 96)",0.47ms,0.016ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=2","(1, 4, 256, 256)",0.465ms,0.044ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=2","(1, 4, 640, 640)",0.724ms,0.284ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=2","(8, 4, 96, 96)",0.468ms,0.05ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=2","(8, 4, 256, 256)",0.759ms,0.334ms
Conv2d,"in_channels=4,kernel_size=3,out_channels=64,stride=2","(8, 4, 640, 640)",2.594ms,2.145ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=1","(1, 4, 96, 96)",0.418ms,0.026ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=1","(1, 4, 256, 256)",0.488ms,0.082ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=1","(1, 4, 640, 640)",0.889ms,0.453ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=1","(8, 4, 96, 96)",0.646ms,0.083ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=1","(8, 4, 256, 256)",1.001ms,0.553ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=1","(8, 4, 640, 640)",3.858ms,3.401ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=2","(1, 4, 96, 96)",0.396ms,0.013ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=2","(1, 4, 256, 256)",0.452ms,0.033ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=2","(1, 4, 640, 640)",0.547ms,0.128ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=2","(8, 4, 96, 96)",0.441ms,0.034ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=2","(8, 4, 256, 256)",0.581ms,0.157ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=8,stride=2","(8, 4, 640, 640)",1.363ms,0.921ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=1","(1, 4, 96, 96)",0.419ms,0.031ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=1","(1, 4, 256, 256)",0.523ms,0.121ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=1","(1, 4, 640, 640)",1.105ms,0.674ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=1","(8, 4, 96, 96)",0.521ms,0.127ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=1","(8, 4, 256, 256)",1.290ms,0.838ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=1","(8, 4, 640, 640)",5.664ms,5.210ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=2","(1, 4, 96, 96)",0.401ms,0.015ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=2","(1, 4, 256, 256)",0.463ms,0.038ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=2","(1, 4, 640, 640)",0.611ms,0.191ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=2","(8, 4, 96, 96)",0.435ms,0.039ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=2","(8, 4, 256, 256)",0.665ms,0.239ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=32,stride=2","(8, 4, 640, 640)",1.873ms,1.390ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=1","(1, 4, 96, 96)",0.477ms,0.038ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=1","(1, 4, 256, 256)",0.639ms,0.221ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=1","(1, 4, 640, 640)",1.730ms,1.271ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=1","(8, 4, 96, 96)",0.641ms,0.23ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=1","(8, 4, 256, 256)",2.058ms,1.585ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=1","(8, 4, 640, 640)",10.436ms,9.979ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=2","(1, 4, 96, 96)",0.448ms,0.023ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=2","(1, 4, 256, 256)",0.451ms,0.069ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=2","(1, 4, 640, 640)",0.79ms,0.368ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=2","(8, 4, 96, 96)",0.522ms,0.063ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=2","(8, 4, 256, 256)",0.911ms,0.452ms
Conv2d,"in_channels=4,kernel_size=5,out_channels=64,stride=2","(8, 4, 640, 640)",3.225ms,2.755ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=1","(1, 8, 96, 96)",0.476ms,0.021ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=1","(1, 8, 256, 256)",0.525ms,0.066ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=1","(1, 8, 640, 640)",0.797ms,0.365ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=1","(8, 8, 96, 96)",0.533ms,0.1ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=1","(8, 8, 256, 256)",0.919ms,0.454ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=1","(8, 8, 640, 640)",3.245ms,2.751ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=2","(1, 8, 96, 96)",0.419ms,0.012ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=2","(1, 8, 256, 256)",0.508ms,0.027ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=2","(1, 8, 640, 640)",0.517ms,0.105ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=2","(8, 8, 96, 96)",0.477ms,0.03ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=2","(8, 8, 256, 256)",0.545ms,0.136ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=8,stride=2","(8, 8, 640, 640)",1.217ms,0.75ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=1","(1, 8, 96, 96)",0.474ms,0.027ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=1","(1, 8, 256, 256)",0.594ms,0.106ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=1","(1, 8, 640, 640)",1.028ms,0.587ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=1","(8, 8, 96, 96)",0.633ms,0.185ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=1","(8, 8, 256, 256)",1.189ms,0.735ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=1","(8, 8, 640, 640)",5.026ms,4.524ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=2","(1, 8, 96, 96)",0.425ms,0.014ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=2","(1, 8, 256, 256)",0.484ms,0.033ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=2","(1, 8, 640, 640)",0.593ms,0.171ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=2","(8, 8, 96, 96)",0.497ms,0.043ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=2","(8, 8, 256, 256)",0.643ms,0.222ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=32,stride=2","(8, 8, 640, 640)",1.651ms,1.206ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=1","(1, 8, 96, 96)",0.483ms,0.032ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=1","(1, 8, 256, 256)",0.624ms,0.183ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=1","(1, 8, 640, 640)",1.528ms,1.076ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=1","(8, 8, 96, 96)",0.662ms,0.205ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=1","(8, 8, 256, 256)",1.870ms,1.352ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=1","(8, 8, 640, 640)",8.904ms,8.423ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=2","(1, 8, 96, 96)",0.448ms,0.019ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=2","(1, 8, 256, 256)",0.458ms,0.06ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=2","(1, 8, 640, 640)",0.711ms,0.325ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=2","(8, 8, 96, 96)",0.469ms,0.062ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=2","(8, 8, 256, 256)",0.78ms,0.395ms
Conv2d,"in_channels=8,kernel_size=3,out_channels=64,stride=2","(8, 8, 640, 640)",2.835ms,2.390ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=1","(1, 8, 96, 96)",0.415ms,0.041ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=1","(1, 8, 256, 256)",0.549ms,0.139ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=1","(1, 8, 640, 640)",1.177ms,0.773ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=1","(8, 8, 96, 96)",0.543ms,0.136ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=1","(8, 8, 256, 256)",1.364ms,0.962ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=1","(8, 8, 640, 640)",6.413ms,5.935ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=2","(1, 8, 96, 96)",0.417ms,0.02ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=2","(1, 8, 256, 256)",0.492ms,0.054ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=2","(1, 8, 640, 640)",0.645ms,0.219ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=2","(8, 8, 96, 96)",0.51ms,0.052ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=2","(8, 8, 256, 256)",0.688ms,0.277ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=8,stride=2","(8, 8, 640, 640)",2.031ms,1.588ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=1","(1, 8, 96, 96)",0.421ms,0.047ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=1","(1, 8, 256, 256)",0.593ms,0.181ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=1","(1, 8, 640, 640)",1.413ms,1.008ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=1","(8, 8, 96, 96)",0.59ms,0.184ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=1","(8, 8, 256, 256)",1.665ms,1.259ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=1","(8, 8, 640, 640)",8.311ms,7.832ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=2","(1, 8, 96, 96)",0.45ms,0.021ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=2","(1, 8, 256, 256)",0.495ms,0.061ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=2","(1, 8, 640, 640)",0.698ms,0.286ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=2","(8, 8, 96, 96)",0.473ms,0.058ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=2","(8, 8, 256, 256)",0.764ms,0.357ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=32,stride=2","(8, 8, 640, 640)",2.622ms,2.107ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=1","(1, 8, 96, 96)",0.691ms,0.056ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=1","(1, 8, 256, 256)",0.761ms,0.308ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=1","(1, 8, 640, 640)",2.346ms,1.852ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=1","(8, 8, 96, 96)",0.77ms,0.332ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=1","(8, 8, 256, 256)",2.826ms,2.315ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=1","(8, 8, 640, 640)",15.111ms,14.602ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=2","(1, 8, 96, 96)",0.5ms,0.033ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=2","(1, 8, 256, 256)",0.528ms,0.111ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=2","(1, 8, 640, 640)",0.963ms,0.553ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=2","(8, 8, 96, 96)",0.511ms,0.092ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=2","(8, 8, 256, 256)",1.093ms,0.682ms
Conv2d,"in_channels=8,kernel_size=5,out_channels=64,stride=2","(8, 8, 640, 640)",4.672ms,4.177ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=1","(1, 16, 96, 96)",0.473ms,0.034ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=1","(1, 16, 256, 256)",0.618ms,0.112ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=1","(1, 16, 640, 640)",1.095ms,0.598ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=1","(8, 16, 96, 96)",0.598ms,0.128ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=1","(8, 16, 256, 256)",1.264ms,0.754ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=1","(8, 16, 640, 640)",5.070ms,4.593ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=2","(1, 16, 96, 96)",0.403ms,0.017ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=2","(1, 16, 256, 256)",0.479ms,0.046ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=2","(1, 16, 640, 640)",0.569ms,0.172ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=2","(8, 16, 96, 96)",0.505ms,0.046ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=2","(8, 16, 256, 256)",0.688ms,0.224ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=8,stride=2","(8, 16, 640, 640)",1.760ms,1.248ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=1","(1, 16, 96, 96)",0.459ms,0.039ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=1","(1, 16, 256, 256)",0.605ms,0.152ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=1","(1, 16, 640, 640)",1.263ms,0.84ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=1","(8, 16, 96, 96)",0.711ms,0.224ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=1","(8, 16, 256, 256)",1.545ms,1.058ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=1","(8, 16, 640, 640)",7.029ms,6.522ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=2","(1, 16, 96, 96)",0.426ms,0.02ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=2","(1, 16, 256, 256)",0.509ms,0.049ms
